Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2021-05-18,90.18000030517578,88.55999755859375,88.8499984741211,89.19000244140625,1048400
2021-05-19,89.8499984741211,88.68000030517578,89.11000061035156,89.80999755859375,1174600
2021-05-20,91.37000274658203,89.31999969482422,89.61000061035156,90.87000274658203,1123400
2021-05-21,91.66999816894531,90.2300033569336,91.12999725341797,90.5999984741211,1354500
2021-05-24,91.3499984741211,90.44999694824219,90.80000305175781,90.5999984741211,959400
2021-05-25,90.62000274658203,89.43000030517578,90.62000274658203,90.30000305175781,1089100
2021-05-26,90.66000366210938,88.11000061035156,90.44999694824219,89.66000366210938,1418600
2021-05-27,90.05000305175781,88.56999969482422,89.80999755859375,88.69999694824219,3122700
2021-05-28,89.9000015258789,88.87999725341797,88.98999786376953,89.05999755859375,1794500
2021-06-01,89.77999877929688,88.45999908447266,89.41999816894531,88.93000030517578,1274700
2021-06-02,89.7699966430664,88.88999938964844,89.20999908447266,89.68000030517578,882800
2021-06-03,89.7300033569336,88.87999725341797,89.51000213623047,89.66999816894531,927800
2021-06-04,90.0,89.25,89.83000183105469,89.80999755859375,698200
2021-06-07,89.8499984741211,88.62000274658203,89.80000305175781,89.48999786376953,1064500
2021-06-08,89.97000122070312,88.0,89.7300033569336,88.5,1177600
2021-06-09,88.91000366210938,87.75,88.06999969482422,88.12999725341797,1620900
2021-06-10,88.8499984741211,88.04000091552734,88.4000015258789,88.73999786376953,1190900
2021-06-11,89.0,88.0999984741211,88.79000091552734,88.8499984741211,1565200
2021-06-14,89.20999908447266,88.37999725341797,88.69999694824219,89.19999694824219,861500
2021-06-15,89.54000091552734,88.6500015258789,89.41000366210938,88.7699966430664,1005800
2021-06-16,89.0,87.43000030517578,88.8499984741211,87.56999969482422,952300
2021-06-17,87.81999969482422,86.68000030517578,87.4800033569336,87.54000091552734,1111400
2021-06-18,87.7300033569336,86.05000305175781,87.27999877929688,86.12999725341797,2690400
2021-06-21,87.2699966430664,86.16999816894531,86.16999816894531,87.16999816894531,1301100
