Date,High_MMM,Low_MMM,Open_MMM,Close_MMM,Volume_MMM
2001-11-15,57.9900016784668,57.154998779296875,57.43000030517578,57.310001373291016,2882000
2001-11-16,58.25,57.0,57.875,57.5,4258600
2001-11-19,58.845001220703125,57.654998779296875,57.875,58.36000061035156,3208200
2001-11-20,58.494998931884766,57.67499923706055,57.67499923706055,58.07500076293945,3083600
2001-11-21,58.150001525878906,57.42499923706055,58.06999969482422,57.67499923706055,2526400
2001-11-23,58.73500061035156,57.71500015258789,57.775001525878906,58.625,1178800
2001-11-26,58.625,58.02000045776367,58.619998931884766,58.474998474121094,2420000
2001-11-27,58.44499969482422,57.650001525878906,58.400001525878906,58.1150016784668,2774200
2001-11-28,57.91999816894531,57.1349983215332,57.625,57.29499816894531,2895800
2001-11-29,57.8849983215332,57.07500076293945,57.29499816894531,57.6150016784668,2707600
2001-11-30,57.80500030517578,57.275001525878906,57.599998474121094,57.290000915527344,2455800
2001-12-03,57.20000076293945,56.349998474121094,57.20000076293945,56.935001373291016,2315200
2001-12-04,58.29499816894531,57.02000045776367,57.25,58.21500015258789,2541200
2001-12-05,59.7400016784668,58.5,58.5,59.43000030517578,3158000
2001-12-06,59.83000183105469,59.0,59.099998474121094,59.415000915527344,2181200
2001-12-07,59.39500045776367,58.689998626708984,59.150001525878906,59.150001525878906,2409200
2001-12-10,58.994998931884766,57.54999923706055,58.880001068115234,57.79499816894531,3076000
2001-12-11,58.334999084472656,57.625,58.150001525878906,57.91999816894531,2426600
2001-12-12,58.25,57.560001373291016,57.935001373291016,58.0,3045600
2001-12-13,57.92499923706055,57.375,57.875,57.52000045776367,2617400
2001-12-14,57.98500061035156,56.974998474121094,57.51499938964844,57.900001525878906,2744200
2001-12-17,59.150001525878906,57.650001525878906,57.650001525878906,58.650001525878906,3464400
2001-12-18,59.959999084472656,58.75,58.75,59.75,3605600
2001-12-19,59.939998626708984,59.025001525878906,59.20000076293945,59.900001525878906,2367200
2001-12-20,59.875,59.07500076293945,59.849998474121094,59.2400016784668,3302000
2001-12-21,59.67499923706055,58.95000076293945,59.25,59.599998474121094,4210000
2001-12-24,59.94499969482422,59.41999816894531,59.599998474121094,59.709999084472656,929600
2001-12-26,60.95000076293945,59.60499954223633,59.709999084472656,60.314998626708984,2089400
2001-12-27,60.595001220703125,59.81999969482422,60.32500076293945,60.08000183105469,1653000
2001-12-28,60.08000183105469,59.650001525878906,60.0,59.959999084472656,2044200
2001-12-31,59.959999084472656,59.099998474121094,59.959999084472656,59.10499954223633,3447800
2002-01-02,58.994998931884766,58.07500076293945,58.51499938964844,58.56999969482422,4287000
2002-01-03,58.75,58.23500061035156,58.45000076293945,58.375,3695800
2002-01-04,58.9900016784668,58.25,58.33000183105469,58.54999923706055,4065400
2002-01-07,58.849998474121094,57.75,58.5,57.849998474121094,3521000
2002-01-08,58.03499984741211,57.25,57.95000076293945,57.525001525878906,3065800
2002-01-09,58.540000915527344,57.209999084472656,57.650001525878906,57.32500076293945,3140800
2002-01-10,57.349998474121094,55.55500030517578,56.974998474121094,56.599998474121094,6459600
2002-01-11,57.23500061035156,56.255001068115234,56.599998474121094,56.89500045776367,4191400
2002-01-14,57.04999923706055,55.70000076293945,56.89500045776367,55.880001068115234,5101800
2002-01-15,56.20000076293945,54.54999923706055,55.880001068115234,54.75,5943800
2002-01-16,54.25,50.099998474121094,54.25,51.849998474121094,22779600
2002-01-17,52.44499969482422,50.0,52.349998474121094,52.2599983215332,15854000
2002-01-18,53.994998931884766,51.775001525878906,52.224998474121094,53.400001525878906,8667600
2002-01-22,54.415000915527344,52.92499923706055,53.82500076293945,53.209999084472656,4692200
2002-01-23,54.119998931884766,52.5099983215332,53.32500076293945,53.72999954223633,4060800
2002-01-24,55.04999923706055,53.650001525878906,53.650001525878906,54.72999954223633,4580200
2002-01-25,56.26499938964844,54.349998474121094,54.650001525878906,55.6150016784668,5438000
2002-01-28,55.474998474121094,54.72999954223633,55.275001525878906,55.27000045776367,3059800
2002-01-29,55.619998931884766,54.13999938964844,55.25,54.32500076293945,3756800
2002-01-30,55.125,52.75,53.95000076293945,54.935001373291016,7653800
2002-01-31,56.47999954223633,54.82500076293945,54.935001373291016,55.5,4525600
2002-02-01,56.68000030517578,55.25,55.5,56.6349983215332,4746200
2002-02-04,56.29999923706055,54.75,56.29999923706055,54.75,3363800
2002-02-05,55.41999816894531,54.04999923706055,54.95000076293945,54.34000015258789,4725800
2002-02-06,55.25,54.29999923706055,54.625,54.845001220703125,3949800
2002-02-07,55.650001525878906,54.54999923706055,55.125,54.755001068115234,2598200
2002-02-08,55.75,54.0,54.54999923706055,55.60499954223633,7498400
2002-02-11,57.165000915527344,55.224998474121094,55.25,57.005001068115234,4416600
2002-02-12,57.5,56.650001525878906,57.0,57.084999084472656,2706600
2002-02-13,58.5,57.349998474121094,57.349998474121094,57.904998779296875,2968000
2002-02-14,58.560001373291016,57.5099983215332,58.0,58.45000076293945,3168200
2002-02-15,58.845001220703125,57.59000015258789,58.68000030517578,57.7599983215332,4486600
2002-02-19,57.869998931884766,56.900001525878906,57.724998474121094,56.994998931884766,3964400
