Date,High_^NYA,Low_^NYA,Open_^NYA,Close_^NYA,Volume_^NYA
2022-09-01,14801.240234375,14576.650390625,14801.240234375,14771.900390625,4152250000
2022-09-02,14981.5,14635.0,14771.900390625,14689.5,3665850000
2022-09-06,14748.740234375,14575.6796875,14689.5,14631.51953125,4127340000
2022-09-07,14865.990234375,14562.7802734375,14631.51953125,14844.5703125,3890320000
2022-09-08,14962.01953125,14726.509765625,14844.5703125,14961.76953125,3966850000
2022-09-09,15222.7900390625,14961.76953125,14961.76953125,15190.7900390625,3901940000
2022-09-12,15397.1396484375,15190.7900390625,15190.7900390625,15352.1796875,3814200000
2022-09-13,15352.1796875,14784.33984375,15352.1796875,14820.7900390625,4224550000
2022-09-14,14898.759765625,14733.5703125,14820.7900390625,14843.2099609375,4293240000
2022-09-15,14903.0302734375,14686.9697265625,14843.2099609375,14722.0302734375,4441830000
2022-09-16,14722.0302734375,14468.919921875,14722.0302734375,14573.91015625,7954650000
2022-09-19,14677.5302734375,14429.9501953125,14573.91015625,14674.4599609375,3766850000
2022-09-20,14674.4599609375,14384.4697265625,14674.4599609375,14474.7197265625,4058050000
2022-09-21,14608.0400390625,14236.1201171875,14474.7197265625,14236.6103515625,4078330000
2022-09-22,14277.240234375,14107.1904296875,14236.6103515625,14116.58984375,4284600000
2022-09-23,14116.58984375,13640.8798828125,14116.58984375,13796.990234375,5144270000
2022-09-26,13813.5400390625,13529.580078125,13796.990234375,13580.3896484375,4886140000
2022-09-27,13783.8203125,13467.349609375,13580.3896484375,13541.759765625,4577740000
2022-09-28,13894.650390625,13541.759765625,13541.759765625,13833.1796875,4684850000
2022-09-29,13833.1796875,13498.2802734375,13833.1796875,13608.2900390625,4681810000
2022-09-30,13725.0595703125,13466.98046875,13608.2900390625,13472.1796875,5645360000
2022-10-03,13920.41015625,13472.1796875,13472.1796875,13855.7197265625,4806680000
2022-10-04,14322.3603515625,13855.7197265625,13855.7197265625,14319.490234375,5146580000
2022-10-05,14340.849609375,14079.91015625,14319.490234375,14262.0302734375,4293180000
2022-10-06,14268.419921875,14063.849609375,14262.0302734375,14087.3798828125,4252100000
2022-10-07,14087.3798828125,13727.7900390625,14087.3798828125,13798.259765625,4449660000
2022-10-10,13846.849609375,13629.58984375,13798.259765625,13693.5703125,3834320000
2022-10-11,13788.1396484375,13518.5498046875,13693.5703125,13608.08984375,4759030000
2022-10-12,13647.419921875,13536.2998046875,13608.08984375,13546.7998046875,4006830000
2022-10-13,13943.01953125,13278.5595703125,13546.7998046875,13888.9697265625,5021680000
2022-10-14,14041.9404296875,13599.4296875,13888.9697265625,13607.3095703125,4243030000
2022-10-17,13989.8603515625,13607.3095703125,13607.3095703125,13923.2099609375,4352780000
2022-10-18,14207.83984375,13923.2099609375,13923.2099609375,14089.2001953125,4483740000
2022-10-19,14089.2001953125,13852.4501953125,14089.2001953125,13947.259765625,4223800000
2022-10-20,14095.6904296875,13809.3095703125,13947.259765625,13840.4697265625,4496620000
2022-10-21,14161.5595703125,13779.4697265625,13840.4697265625,14144.0498046875,5078020000
2022-10-24,14269.33984375,14085.419921875,14144.0498046875,14226.1103515625,4747930000
2022-10-25,14454.1396484375,14226.1103515625,14226.1103515625,14440.6904296875,4843120000
2022-10-26,14670.6201171875,14440.6904296875,14440.6904296875,14531.6904296875,4817310000
2022-10-27,14726.1103515625,14531.6904296875,14531.6904296875,14569.900390625,4687320000
2022-10-28,14802.2197265625,14565.509765625,14569.900390625,14795.6298828125,4459410000
2022-10-31,14825.01953125,14698.8203125,14795.6298828125,14747.0302734375,4820620000
2022-11-01,14921.48046875,14725.08984375,14747.0302734375,14790.7099609375,4481210000
2022-11-02,14929.3798828125,14496.330078125,14790.7099609375,14497.849609375,4899000000
2022-11-03,14531.9296875,14297.0595703125,14497.849609375,14455.669921875,4625290000
2022-11-04,14796.8095703125,14455.669921875,14455.669921875,14702.76953125,5400180000
2022-11-07,14833.9404296875,14688.5498046875,14702.76953125,14808.6298828125,4341620000
2022-11-08,14983.349609375,14756.98046875,14808.6298828125,14889.2998046875,4607640000
2022-11-09,14889.2998046875,14568.990234375,14889.2998046875,14587.759765625,4645010000
2022-11-10,15241.8896484375,14587.759765625,14587.759765625,15234.7197265625,5781260000
2022-11-11,15388.0595703125,15234.7197265625,15234.7197265625,15352.6904296875,5593310000
2022-11-14,15415.990234375,15228.98046875,15320.4296875,15228.98046875,4561930000
2022-11-15,15485.490234375,15260.8701171875,15445.099609375,15381.0,5015310000
2022-11-16,15381.0,15249.0400390625,15381.0,15265.25,4165320000
2022-11-17,15228.5498046875,15071.2001953125,15090.080078125,15223.9599609375,4051780000
2022-11-18,15337.580078125,15210.9404296875,15314.4404296875,15309.76953125,4037360000
2022-11-21,15309.76953125,15180.1904296875,15309.76953125,15278.259765625,3850690000
2022-11-22,15486.4599609375,15278.259765625,15278.259765625,15481.759765625,3887990000
2022-11-23,15565.400390625,15455.849609375,15481.759765625,15545.51953125,3279720000
2022-11-25,15625.7197265625,15545.51953125,15545.51953125,15605.669921875,1706460000
2022-11-28,15605.669921875,15350.08984375,15605.669921875,15370.4404296875,3615430000
2022-11-29,15479.9697265625,15370.4404296875,15370.4404296875,15433.4599609375,3546040000
2022-11-30,15780.01953125,15361.7900390625,15433.4599609375,15780.01953125,6579360000
2022-12-01,15854.1396484375,15691.2998046875,15780.01953125,15761.1201171875,4527130000
2022-12-02,15797.6796875,15617.849609375,15761.1201171875,15767.01953125,4012620000
2022-12-05,15767.01953125,15431.900390625,15767.01953125,15474.7900390625,4280820000
2022-12-06,15499.0,15240.8603515625,15474.7900390625,15328.4599609375,4368380000
2022-12-07,15401.6201171875,15285.0595703125,15328.4404296875,15311.7900390625,4118050000
2022-12-08,15452.759765625,15311.7900390625,15311.7900390625,15399.9404296875,4006900000
2022-12-09,15439.2197265625,15287.759765625,15399.9404296875,15291.0498046875,3888260000
2022-12-12,15468.98046875,15280.9296875,15291.0498046875,15468.669921875,3904130000
2022-12-13,15819.150390625,15468.669921875,15468.669921875,15562.5400390625,5079360000
2022-12-14,15667.7802734375,15407.58984375,15562.5400390625,15494.98046875,4472340000
2022-12-15,15494.98046875,15120.9697265625,15494.98046875,15182.2802734375,4493900000
